ID,code,name,descr,price
c1a89f50-4f7e-4a47-8f50-c8a1c8b283e5,PRD001,Notebook Gamer,Alta performance para jogos,5999.99
cfa72876-34a2-4428-a6e8-79b5a4c7d08e,PRD002,Mouse Sem Fio,Ergonômico e recarregável,149.90
e3e7c178-f0a2-40a7-8e01-579a2d9c2a90,PRD003,Teclado Mecânico,Switches azuis RGB,299.00
a2b5f708-5b3e-45f4-916d-79216f2434c3,PRD004,Monitor 27 Pol,4K UHD com HDR10,1899.00
e9c71c94-0c57-4a0a-b0fc-b2e68c77f333,PRD005,Headset Bluetooth,Som surround e microfone,349.90
f05d8b1d-6824-4c9e-9d78-2fb5cfbc124e,PRD006,Impressora Multifuncional,Impressão rápida e econômica,799.90
3e7fcd89-6a23-4046-9b7d-59cc7fcb0974,PRD007,Cadeira Gamer,Reclinável e confortável,1299.00
5e91d674-12c4-4d49-b5f6-34c8f0db8c90,PRD008,Webcam Full HD,Imagem nítida e autofoco,199.00
6f4b7a3c-4290-4e17-9b2e-01a6f3c2f8b3,PRD009,SSD 1TB,Alta velocidade NVMe,499.90
c3d45b67-9c91-40f0-9f0d-1f3b2b6c1738,PRD010,Placa de Vídeo,Radeon RX 6800 XT 16GB,3999.00
